Major,Total - Bachelor,Total Males - Bachelor,Total Females - Bachelor,Total - Master,Total Males - Master,Total Females - Masters,Total Phd,Total Males - Phd,Total Females - Phd
"    Economics, general ..........................................................................",26425,18698,7727,2896,1840,1056,1055,709,346
    Applied economics ...........................................................................,281,182,99,264,187,77,29,18,11
    Econometrics and quantitative economics .....................................................,374,261,113,27,18,9,0,0,0
    Development economics and international development .........................................,233,66,167,398,140,258,24,17,7
    International economics .....................................................................,242,125,117,213,107,106,15,12,3
"    Economics, other ............................................................................",440,294,146,92,47,45,7,2,5
    Geography ...................................................................................,4807,3136,1671,929,538,391,275,168,107
    Cartography .................................................................................,167,132,35,177,132,45,4,3,1
"    Geography, other ............................................................................",171,94,77,20,15,5,1,0,1
    International relations and affairs .........................................................,9719,3786,5933,4610,2249,2361,85,44,41
    National security policy studies ......................................................,12,12,0,160,107,53,0,0,0
"    International relations and national security studies, other ......................................................",113,48,65,53,28,25,0,0,0
"    Political science and government, general ...................................................",38789,21787,17002,2226,1229,997,739,444,295
    American government and politics (United States) ............................................,172,99,73,171,104,67,0,0,0
    Political economy ..........................................................................................................,110,65,45,0,0,0,0,0,0
"    Political science and government, other .....................................................",729,368,361,111,66,45,7,3,4
    Sociology ...................................................................................,30132,9295,20837,1696,574,1122,626,231,395
    Urban studies/affairs .......................................................................,1105,504,601,479,211,268,62,26,36
    Sociology and anthropology ......................................................,334,96,238,10,2,8,0,0,0
    Rural sociology ..........................................................................................................,20,9,11,1,1,0,0,0,0
"    Social sciences, other ......................................................................",1980,832,1148,489,216,273,28,8,20
, ,,, ,,, ,,
  History ...................................................................................................,35121,20970,14151,4155,2242,1913,969,533,436
"    History, general ............................................................................",34384,20571,13813,3557,1902,1655,917,503,414
    American history (United States) ............................................................,82,46,36,53,20,33,7,2,5
    European history ............................................................................,31,16,15,5,2,3,0,0,0
    History and philosophy of science and technology ............................................,122,49,73,37,19,18,24,17,7
    Public/applied history and archival administration ..........................................,22,7,15,182,39,143,3,0,3
    Asian history ...............................................................................,2,2,0,0,0,0,1,1,0
    Military history ............................................................................,25,25,0,171,151,20,0,0,0
"    History, other ..............................................................................",453,254,199,150,109,41,17,10,7
, ,,, ,,, ,,
Theology and religious vocations ............................................................,9369,6275,3094,13396,8582,4814,2447,1857,590
  Bible/biblical studies ......................................................................,2920,1883,1037,547,409,138,28,24,4
  Missions/missionary studies and missiology ..................................................,519,199,320,273,144,129,125,93,32
  Religious education .........................................................................,839,419,420,610,339,271,62,34,28
  Religious/sacred music ......................................................................,297,171,126,103,51,52,0,0,0
  Theology/theological studies ................................................................,1092,718,374,4188,2800,1388,533,392,141
  Divinity/ministry ............................................................................,190,124,66,4913,3210,1703,1029,793,236
  Pre-theology/pre-ministerial studies ........................................................,169,138,31,0,0,0,0,0,0
  Rabbinical studies .....................................................................,0,0,0,136,91,45,27,27,0
  Talmudic studies ............................................................................,1459,1459,0,430,428,2,38,38,0
"  Theological and ministerial studies, other ..................................................",376,211,165,575,351,224,279,222,57
  Pastoral studies/counseling .................................................................,404,278,126,752,299,453,96,61,35
  Youth ministry ..............................................................................,560,383,177,57,28,29,0,0,0
  Urban ministry ............................................................................,46,18,28,51,33,18,15,11,4
  Lay ministry ............................................................................,62,43,19,68,29,39,0,0,0
"  Pastoral counseling and specialized ministries, other .......................................",117,42,75,145,61,84,18,14,4
"  Theology and religious vocations, other .....................................................",319,189,130,548,309,239,197,148,49
, ,,, ,,, ,,
Transportation and materials moving .........................................................,4876,4305,571,1702,1441,261,0,0,0
"  Aeronautics/aviation/aerospace science and technology, general ..............................",2718,2438,280,149,122,27,0,0,0
  Airline/commercial/professional pilot and flight crew .......................................,755,674,81,1264,1095,169,0,0,0
  Aviation/airway management and operations ...................................................,836,704,132,242,190,52,0,0,0
  Air traffic controller ......................................................................,222,181,41,0,0,0,0,0,0
  Flight instructor ................................................................,8,7,1,0,0,0,0,0,0
"  Air transportation, other ...................................................................",18,15,3,47,34,13,0,0,0
  Marine science/merchant marine officer ......................................................,319,286,33,0,0,0,0,0,0
, ,,, ,,, ,,
Visual and performing arts ..................................................................,95797,37158,58639,17331,7331,10000,1728,790,938
"  Visual and performing arts, general .........................................................",1656,624,1032,148,64,84,12,7,5
  Digital arts ............................................................................,373,242,131,103,71,32,0,0,0
"  Crafts/craft design, folk art and artisanry ................................................. ",125,35,90,2,1,1,0,0,0
"  Dance, general ..............................................................................",2104,212,1892,237,36,201,10,0,10
  Ballet ......................................................................................,23,3,20,4,0,4,0,0,0
"  Dance, other ................................................................................",16,1,15,2,0,2,3,0,3
"  Design and visual communications, general ...................................................",3086,1083,2003,510,196,314,3,1,2
  Commercial and advertising art ..............................................................,1484,554,930,115,50,65,0,0,0
  Industrial design ...........................................................................,1476,935,541,179,101,78,0,0,0
  Commercial photography ...........................................................................,415,135,280,12,5,7,0,0,0
  Fashion/apparel design ......................................................................,2379,194,2185,196,16,180,3,0,3
  Interior design .............................................................................,3708,311,3397,466,57,409,0,0,0
  Graphic design ..............................................................................,5972,2379,3593,235,91,144,0,0,0
  Illustration ................................................................................,1557,592,965,134,64,70,0,0,0
  Game and interactive media design ......................................................,1211,1006,205,121,80,41,0,0,0
"  Design and applied arts, other ..............................................................",941,334,607,284,118,166,5,0,5
"  Drama and dramatics/theatre arts, general ...................................................",9218,3374,5844,1210,495,715,95,43,52
  Technical theatre/theatre design and technology .............................................,571,278,293,142,55,87,0,0,0
  Playwriting and screenwriting ...............................................................,150,91,59,188,97,91,0,0,0
"  Theatre literature, history and criticism ...................................................",33,7,26,8,3,5,1,0,1
  Acting ......................................................................................,596,250,346,205,98,107,0,0,0
  Directing and theatrical production .........................................................,63,29,34,83,35,48,0,0,0
  Musical theatre ............................................................................,306,120,186,0,0,0,0,0,0
  Costume design ............................................................................,10,4,6,3,1,2,0,0,0
"  Dramatic/theatre arts and stagecraft, other .................................................",313,112,201,44,23,21,4,1,3
  Film/cinema studies .........................................................................,3072,1910,1162,382,222,160,41,20,21
  Cinematography and film/video production ....................................................,4628,3202,1426,813,469,344,5,5,0
  Photography .................................................................................,1865,596,1269,259,120,139,0,0,0
  Documentary production ................................................................................,11,4,7,10,4,6,0,0,0
"  Film/video and photographic arts, other .....................................................",928,529,399,92,53,39,0,0,0
"  Art/art studies, general ....................................................................",12769,3861,8908,804,346,458,12,1,11
"  Fine/studio arts, general ...................................................................",10155,3234,6921,1414,622,792,0,0,0
"  Art history, criticism and conservation .....................................................",3597,429,3168,939,128,811,200,46,154
  Drawing .....................................................................................,300,87,213,31,14,17,0,0,0
  Intermedia/multimedia .......................................................................,441,212,229,41,25,16,0,0,0
  Painting ....................................................................................,692,214,478,224,93,131,0,0,0
  Sculpture ...................................................................................,322,142,180,70,31,39,0,0,0
  Printmaking .................................................................................,179,60,119,55,25,30,0,0,0
  Ceramic arts and ceramics ...................................................................,209,81,128,52,20,32,0,0,0
"  Fiber, textile and weaving arts .............................................................",203,11,192,47,6,41,2,1,1
  Metal and jewelry arts ......................................................................,129,17,112,34,7,27,0,0,0
"  Fine arts and art studies, other ............................................................",1341,439,902,322,105,217,0,0,0
"  Music, general ..............................................................................",7763,4102,3661,1994,1001,993,593,333,260
"  Music history, literature, and theory .......................................................",113,47,66,45,23,22,19,8,11
"  Music performance, general ..................................................................",4202,2222,1980,2333,1136,1197,402,162,240
  Music theory and composition ................................................................,508,376,132,273,189,84,68,50,18
  Musicology and ethnomusicology ..............................................................,42,27,15,60,31,29,52,21,31
  Conducting ..................................................................................,5,2,3,115,76,39,29,26,3
  Keyboard instruments ................................................................................,135,61,74,151,48,103,46,12,34
  Voice and opera .............................................................................,306,96,210,209,64,145,16,5,11
  Jazz/jazz studies ...........................................................................,301,253,48,151,127,24,6,6,0
  Stringed instruments ................................................................................,196,101,95,192,91,101,36,14,22
  Music pedagogy ..............................................................................,68,20,48,50,11,39,16,4,12
  Music technology ............................................................................,111,88,23,17,15,2,0,0,0
  Brass instruments ............................................................................,21,17,4,25,17,8,3,2,1
  Woodwind instruments ................................................................................,40,25,15,48,17,31,3,2,1
  Percussion instruments ................................................................................,23,19,4,7,5,2,1,1,0
"  Music, other ............................................................................",754,463,291,290,174,116,19,12,7
"  Arts, entertainment, and media management, general ......................................................",161,52,109,159,32,127,0,0,0
  Fine and studio arts management ......................................................,623,231,392,457,73,384,0,0,0
  Music management ............................................................................,1253,771,482,0,0,0,0,0,0
  Theatre/theatre arts management ......................................................,83,30,53,50,8,42,0,0,0
"  Arts, entertainment, and media management, other ......................................................",21,8,13,1,0,1,0,0,0
"  Visual and performing arts, other ...........................................................",441,214,227,484,146,338,23,7,16
, ,,,,,,,,
Not classified by field of study .......................................................................................................................................,0,0,0,0,0,0,0,0,0
"\1\Includes Ph.D., Ed.D., and comparable degrees at the doctoral level. Includes most degrees formerly classified as first-professional, such as M.D., D.D.S., and law degrees.  ",,,,,,,,,
NOTE: Data are for postsecondary institutions participating in Title IV federal financial aid programs. Aggregations by field of study derived from the Classification of Instructional Programs developed by the National Center for Education Statistics.,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Fall 2012, Completions component. (This table was prepared July 2013.)",,,,,,,,,
